               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12113,            0.031288,                   0,           0.0033333,             0.21429,           0.0024866,          0.00075397,             0.11347,            0.025216,                   0,               0.091,               0.001,               0.001
                   1,             0.10058,            0.029218,                   0,           0.0028889,             0.30952,           0.0034716,           0.0011081,            0.087846,            0.022861,                   0,            0.081058,           0.0020584,           0.0020584
                   2,            0.081587,            0.028308,                   0,           0.0027273,             0.64286,            0.006109,           0.0017082,            0.089156,            0.018992,                   0,            0.071073,           0.0030733,           0.0030733
                   3,            0.076779,            0.025926,                   0,           0.0081375,              0.7381,            0.038038,             0.01235,            0.072693,            0.017679,                   0,            0.061045,           0.0040446,           0.0040446
                   4,            0.070677,            0.024556,                   0,            0.033018,             0.78571,             0.19918,            0.064562,            0.076299,            0.015115,                   0,            0.050972,           0.0049723,           0.0049723
                   5,             0.06556,            0.024485,                   0,             0.62001,             0.46636,             0.53339,             0.19455,            0.071632,            0.013865,                   0,            0.040857,           0.0058565,           0.0058565
                   6,            0.058383,            0.021309,                   0,             0.86894,             0.61905,             0.70467,             0.34098,            0.083586,            0.012564,                   0,            0.030697,           0.0066971,           0.0066971
                   7,             0.06411,            0.017904,                   0,             0.51128,             0.54799,             0.40372,            0.075124,            0.077026,           0.0087582,                   0,            0.020494,           0.0074942,           0.0074942
                   8,            0.063043,            0.018009,                   0,             0.77774,             0.57143,             0.67051,             0.26482,            0.073869,           0.0081343,                   0,            0.010248,           0.0082477,           0.0082477
                   9,            0.057433,            0.018678,                   0,             0.97936,             0.61905,             0.79208,             0.47808,            0.057762,           0.0081657,                   0,            0.008218,            0.008218,            0.008218
                  10,            0.049645,            0.018196,                   0,             0.89907,             0.61905,              0.7457,             0.46063,            0.061833,           0.0073345,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.054326,            0.015711,                   0,             0.93048,             0.63748,              0.7983,             0.35625,            0.056537,           0.0076565,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.04814,            0.013555,                   0,             0.71873,             0.66932,             0.72485,             0.37662,            0.051856,           0.0085144,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.042835,            0.013839,                   0,             0.83096,             0.81946,             0.86313,             0.45813,             0.05784,           0.0098526,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.045142,            0.013793,                   0,             0.95083,              0.7619,             0.90371,             0.59914,            0.041645,            0.010803,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.039227,            0.011447,                   0,             0.85457,             0.83333,             0.94338,             0.64782,            0.045711,           0.0057998,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.040277,            0.011648,                   0,             0.97427,             0.90178,             0.96299,             0.58778,            0.050745,           0.0054479,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.035549,            0.010342,                   0,             0.96193,             0.83333,             0.94915,             0.64897,            0.046092,           0.0055488,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.036377,            0.011455,                   0,              0.9429,             0.97619,             0.98802,             0.75142,            0.030308,           0.0053889,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.030004,           0.0099598,                   0,             0.97519,             0.93618,             0.99084,             0.65324,            0.035613,           0.0050609,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.033993,             0.01003,                   0,             0.87089,              0.7619,             0.91508,             0.71885,            0.041518,           0.0048194,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034834,            0.010916,                   0,             0.97648,             0.95238,             0.99274,             0.73766,            0.035381,           0.0045658,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.026522,           0.0095255,                   0,             0.97551,             0.94863,             0.98605,             0.71929,            0.029085,           0.0044368,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.031047,           0.0097418,                   0,             0.93824,             0.97619,             0.99112,             0.79587,            0.027333,           0.0045803,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.030135,           0.0095348,                   0,             0.95716,             0.97619,             0.99195,             0.82665,            0.027797,           0.0043511,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.029505,           0.0091616,                   0,             0.97438,             0.97619,             0.99319,             0.81876,            0.032152,           0.0040699,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.02838,           0.0093325,                   0,             0.95429,              0.9943,             0.99361,             0.81639,            0.023382,           0.0036908,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.025445,             0.00833,                   0,             0.78278,             0.95238,             0.92883,             0.53958,            0.030572,           0.0041839,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.029371,           0.0096836,                   0,             0.95437,             0.99609,             0.99318,             0.78619,            0.020545,           0.0035393,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.021385,           0.0082668,                   0,             0.95439,             0.99652,             0.99318,              0.8182,             0.01737,           0.0035299,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.025224,           0.0084561,                   0,              0.9543,             0.99441,             0.99318,              0.8161,            0.020904,           0.0035903,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.026632,           0.0080459,                   0,             0.97971,             0.95238,             0.99319,             0.80032,             0.02245,           0.0034878,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.022329,           0.0082223,                   0,             0.95416,             0.99124,             0.99318,             0.78731,            0.020733,           0.0034119,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.02384,           0.0083785,                   0,             0.98513,             0.95238,             0.99319,             0.85158,            0.018607,           0.0033138,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.026144,           0.0073948,                   0,             0.97431,             0.97619,             0.99319,             0.81129,            0.021628,           0.0032785,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.020512,           0.0071739,                   0,             0.99136,             0.95238,             0.99319,              0.8535,             0.02111,           0.0032906,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.019541,           0.0078762,                   0,             0.99176,             0.95238,             0.99319,              0.8421,            0.019181,           0.0032831,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.019437,           0.0072641,                   0,             0.99085,             0.95238,             0.99319,             0.89552,            0.016279,           0.0031055,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.02071,           0.0070398,                   0,             0.97001,             0.97619,             0.99319,             0.87661,            0.015042,           0.0031222,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.022205,           0.0073115,                   0,             0.97123,             0.97619,             0.99319,              0.8801,            0.013956,           0.0031761,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.021269,           0.0075562,                   0,             0.98165,             0.95238,             0.99319,             0.87574,            0.016833,           0.0030207,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.02119,           0.0067121,                   0,             0.98915,             0.95238,             0.99319,             0.90686,            0.012748,           0.0029402,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.020539,           0.0075767,                   0,             0.99245,             0.95238,             0.99319,             0.87185,            0.012948,           0.0030944,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017876,           0.0069626,                   0,             0.95374,             0.98187,             0.99361,             0.89372,            0.013627,           0.0030171,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019931,           0.0070199,                   0,             0.95891,             0.97619,             0.99361,             0.89949,            0.014098,           0.0029173,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.01647,           0.0068749,                   0,              0.9765,              0.9895,             0.99407,             0.90783,            0.013996,           0.0028313,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.015034,           0.0064853,                   0,             0.97661,             0.99412,             0.99453,             0.91451,            0.012248,           0.0028208,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.015558,           0.0066214,                   0,             0.97642,             0.98623,             0.99453,               0.926,             0.01275,           0.0027731,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.014742,           0.0070505,                   0,              0.9764,             0.98499,             0.99453,             0.92623,            0.011841,           0.0027766,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.014379,           0.0066903,                   0,             0.97632,             0.98187,             0.99453,             0.92121,            0.010339,           0.0027874,                   0,            0.000496,            0.000496,            0.000496
